,Brand,Product Type,Product Name,Description,Price,Sales Price,Color,Material,Product URL,Picture URL,Timestamp,Gender,New Arrival
0,Kowtow,none,OTTI JUMPER,"A high neck jumper featuring an all over check pattern. Made from organic cotton and knitted in a single jersey stitch, the Otti Jumper has an oversized fit and is finished with a contrast rib at the neckline, hem and cuffs. Our knitwear is designed for comfort, and has a generous, oversized fit. If you prefer a closer",US$ 269,,INDIGO CHECK,"['single-jersey', 'fairganic', 'knitwear', 'seed-to-garment']",https://us.kowtowclothing.com/products/otti-jumper-indigo-check,//cdn.shopify.com/s/files/1/2182/6091/products/otti_jumper-indigo_check-lookbook-0062_grande.jpg?v=1646806694,2022-03-15 21:53:47.949628,unisex,True
1,Kowtow,none,COMPOSURE CARDIGAN,"A wrap cardigan with a relaxed fit and raglan sleeves, made from organic cotton and knitted in a tuck stitch. The Composure Cardigan is cropped in length and fastens at the back with narrow ties.",US$ 189,,PRIMARY RED,"['tuck-stitch', 'fairganic', 'knitwear', 'seed-to-garment']",https://us.kowtowclothing.com/products/composure-cardigan-primary-red,//cdn.shopify.com/s/files/1/2182/6091/products/composure_cardigan-primary_red-lookbook-0017_grande.jpg?v=1646806296,2022-03-15 21:53:48.610373,unisex,True
2,Kowtow,none,ESCAPE CREW,"A crew neck jumper made from organic cotton and knitted in seed stitch. It has a standard fit through the body and is finished with a narrow rib at the neckline, hem and cuffs.",US$ 189,,PRIMARY RED,"['seed-stitch', 'fairganic', 'knitwear', 'seed-to-garment']",https://us.kowtowclothing.com/products/escape-crew-primary-red,//cdn.shopify.com/s/files/1/2182/6091/products/escape_crew-primary_red-lookbook-0012_grande.jpg?v=1646806317,2022-03-15 21:53:48.866594,unisex,True
3,Kowtow,none,TRIANGLE SKIRT,"An a-line panelled skirt featuring contrast topstitch detailing, made from mid-weight organic cotton denim. The skirt features side seam pockets, and is finished with a comfortable elastic waistband for a relaxed fit.",US$ 255,,INDIGO DENIM,"['12.5oz', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/triangle-skirt-indigo-denim,//cdn.shopify.com/s/files/1/2182/6091/products/triangle_skirt-indigo_denim-lookbook-0045_grande.jpg?v=1646806595,2022-03-15 21:53:49.141856,unisex,True
4,Kowtow,none,BALLOON JEANS,"Mid-rise jeans with a curved balloon leg that tapers towards the ankle, made from a mid-weight organic cotton denim. The jeans feature elastic at the waistband, and have a relaxed fit. They have front and back pockets, and are fastened by a concealed front fly with nickel-free tacks.",US$ 225,,INDIGO DENIM,"['12.5oz', 'fairganic', 'nickel-free', 'seed-to-garment""']",https://us.kowtowclothing.com/products/balloon-jeans-indigo-denim,//cdn.shopify.com/s/files/1/2182/6091/products/balloon_jeans-indigo_denim-lookbook-0011_grande.jpg?v=1646953358,2022-03-15 21:53:49.410767,unisex,False
5,Kowtow,none,LOTTE DRESS,"A statement shirt dress made from organic cotton poplin, printed in our signature math grid inspired print. It features a frill sleeve, and a rounded collar finished in a contrast red binding. The dress has side seam pockets and fastens at the front with agoya shell buttons.",US$ 299,,MATH GRID,"['poplin', 'fairganic', 'agoya', 'seed-to-garment']",https://us.kowtowclothing.com/products/lotte-dress-math-grid,//cdn.shopify.com/s/files/1/2182/6091/products/lotte_dress-math_paper-lookbook-0055_grande.jpg?v=1646951016,2022-03-15 21:53:49.738920,unisex,True
6,Kowtow,none,JULES SHIRT,"A long sleeve shirt with an a-line shape, made from organic cotton poplin. The shirt features a large round collar with ruffle detailing, and full gathered sleeves that finish in a narrow button cuff.",US$ 225,,MATH GRID,"['poplin', 'fairganic', 'agoya', 'seed-to-garment']",https://us.kowtowclothing.com/products/jules-shirt-math-grid,//cdn.shopify.com/s/files/1/2182/6091/products/jules_shirt-math_paper-lookbook-0058_grande.jpg?v=1646953234,2022-03-15 21:53:50.010904,unisex,True
7,Kowtow,none,PHOEBE DRESS,"An oversized shirt dress made from organic cotton poplin, printed in our signature math grid inspired print. The Phoebe Dress has a gathered waistline and fastens at the front with agoya shell buttons in a concealed button placket.",US$ 259,,MATH GRID,"['poplin', 'fairganic', 'agoya', 'seed-to-garment']",https://us.kowtowclothing.com/products/phoebe-dress-math-grid,//cdn.shopify.com/s/files/1/2182/6091/products/phoebe_dress-math_paper-lookbook-0045_grande.jpg?v=1646955126,2022-03-15 21:53:50.294947,unisex,True
8,Kowtow,none,UNISEX WORKSHOP JACKET,"A unisex denim jacket featuring oversized patch pockets, finished with a contrast topstitching. It has a relaxed, boxy fit and fastens at the front with nickel-free metal tacks.",US$ 269,,EARTH DENIM,"['11oz', 'fairganic', 'nickel-free', 'seed-to-garment']",https://us.kowtowclothing.com/products/workshop-jacket-earth-denim,//cdn.shopify.com/s/files/1/2182/6091/products/workshop_jacket-earth_denim-lookbook-0044_grande.jpg?v=1646806610,2022-03-15 21:53:50.582934,unisex,True
9,Kowtow,none,SAILOR JEANS,"High-rise jeans with a straight wide leg, made from a mid-weight organic cotton denim. The jeans have front and back pockets, and are fastened with nickel-free tacks.",US$ 225,,EARTH DENIM,"['11oz', 'fairganic', 'nickel-free', 'seed-to-garment']",https://us.kowtowclothing.com/products/sailor-jeans-earth-denim,//cdn.shopify.com/s/files/1/2182/6091/products/sailor_jeans-earth_denim-lookbook-0012_grande.jpg?v=1646806551,2022-03-15 21:53:50.884130,unisex,True
10,Kowtow,none,TRIANGLE SKIRT,"An a-line panelled skirt featuring contrast topstitch detailing, made from mid-weight organic cotton denim. The skirt features side seam pockets, and is finished with a comfortable elastic waistband for a relaxed fit.",US$ 255,,EARTH DENIM,"['11oz', 'fairganic', 'seed-to-garment']",https://us.kowtowclothing.com/products/triangle-skirt-earth-denim,//cdn.shopify.com/s/files/1/2182/6091/products/triangle_skirt-earth_denim-lookbook-0007_grande.jpg?v=1646806586,2022-03-15 21:53:51.161656,unisex,True
11,Kowtow,none,KIKI DRESS,"A statement dress featuring cut out detailing at the shoulders and finished with a frill trim. Made from lightweight organic cotton voile, the Kiki Dress has a gathered waist and relaxed off the body fit. It is finished with side seam pockets and fastens at the back neck with a single shell button.",US$ 269,,RED,"['voile', 'fairganic', 'agoya', 'seed-to-garment']",https://us.kowtowclothing.com/products/kiki-dress-red,//cdn.shopify.com/s/files/1/2182/6091/products/kiki_dress-red-lookbook-0033_grande.jpg?v=1646806506,2022-03-15 21:53:51.444202,unisex,True
