,Brand,Product Type,Product Name,Description,Price,Sales Price,Color,Material,Product URL,Picture URL,Timestamp,Gender,New Arrival
0,Pact,tops & shirts,softspun high neck tank,"Throw it on under a jacket or wear as-is for a welcome update to your tank basics. Semi-fitted body, ideal for layering. Softspun fabric for everyday wear. High neck and back, with a slight curve at the shoulders. Hits at hip, straight hem. ",,$25,black,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun high neck tank/wa1-wme-sls,https://static.wearpact.com/img/product/women/wme-blk-1-1646260043_thumb.jpg,2022-06-03,women,True
1,Pact,tops & shirts,softspun high neck tank,"Throw it on under a jacket or wear as-is for a welcome update to your tank basics. Semi-fitted body, ideal for layering. Softspun fabric for everyday wear. High neck and back, with a slight curve at the shoulders. Hits at hip, straight hem. ",,$25,white,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun high neck tank/wa1-wme-sls,https://static.wearpact.com/img/product/women/wme-wht-1-1611861159_thumb.jpg,2022-06-03,women,True
2,Pact,tops & shirts,softspun high neck tank,"Throw it on under a jacket or wear as-is for a welcome update to your tank basics. Semi-fitted body, ideal for layering. Softspun fabric for everyday wear. High neck and back, with a slight curve at the shoulders. Hits at hip, straight hem. ",,$25,sailor stripe,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun high neck tank/wa1-wme-sls,https://static.wearpact.com/img/product/women/wme-sls-1-1651683099_thumb.jpg,2022-06-03,women,True
3,Pact,tops & shirts,softspun high neck tank,"Throw it on under a jacket or wear as-is for a welcome update to your tank basics. Semi-fitted body, ideal for layering. Softspun fabric for everyday wear. High neck and back, with a slight curve at the shoulders. Hits at hip, straight hem. ",,$25,currant,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun high neck tank/wa1-wme-sls,https://static.wearpact.com/img/product/women/wme-cur-1-1651590820_thumb.jpg,2022-06-03,women,True
4,Pact,tops & shirts,softspun high neck tank,"Throw it on under a jacket or wear as-is for a welcome update to your tank basics. Semi-fitted body, ideal for layering. Softspun fabric for everyday wear. High neck and back, with a slight curve at the shoulders. Hits at hip, straight hem. ",,$25,fennel pinstripe,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun high neck tank/wa1-wme-sls,https://static.wearpact.com/img/product/women/wme-fnp-1-1651593268_thumb.jpg,2022-06-03,women,True
5,Pact,tops & shirts,softspun high neck tank,"Throw it on under a jacket or wear as-is for a welcome update to your tank basics. Semi-fitted body, ideal for layering. Softspun fabric for everyday wear. High neck and back, with a slight curve at the shoulders. Hits at hip, straight hem. ",,$25,rosy,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun high neck tank/wa1-wme-sls,https://static.wearpact.com/img/product/women/wme-rsy-1-1650638975_thumb.jpg,2022-06-03,women,True
6,Pact,tops & shirts,softspun v-neck tee,"Made with our best-selling Softspun fabric, this tee is the perfect addition to your basics collection. Semi-fitted body, ideal for layering. V-neck, short sleeves. Hits at the hip, straight hem. ",,$30,black,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun v-neck tee/wa1-wvn-rsy,https://static.wearpact.com/img/product/women/wvn-blk-1-1626205736_thumb.jpg,2022-06-03,women,True
7,Pact,tops & shirts,softspun v-neck tee,"Made with our best-selling Softspun fabric, this tee is the perfect addition to your basics collection. Semi-fitted body, ideal for layering. V-neck, short sleeves. Hits at the hip, straight hem. ",,$30,heather grey,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun v-neck tee/wa1-wvn-rsy,https://static.wearpact.com/img/product/women/wvn-hgr-1-1647875991_thumb.jpg,2022-06-03,women,True
8,Pact,tops & shirts,softspun v-neck tee,"Made with our best-selling Softspun fabric, this tee is the perfect addition to your basics collection. Semi-fitted body, ideal for layering. V-neck, short sleeves. Hits at the hip, straight hem. ",,$30,charcoal heather,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun v-neck tee/wa1-wvn-rsy,https://static.wearpact.com/img/product/women/wvn-chh-1-1646320366_thumb.jpg,2022-06-03,women,True
9,Pact,tops & shirts,softspun v-neck tee,"Made with our best-selling Softspun fabric, this tee is the perfect addition to your basics collection. Semi-fitted body, ideal for layering. V-neck, short sleeves. Hits at the hip, straight hem. ",,$30,sailor stripe,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun v-neck tee/wa1-wvn-rsy,https://static.wearpact.com/img/product/women/wvn-sls-1-1651587588_thumb.jpg,2022-06-03,women,True
10,Pact,tops & shirts,softspun v-neck tee,"Made with our best-selling Softspun fabric, this tee is the perfect addition to your basics collection. Semi-fitted body, ideal for layering. V-neck, short sleeves. Hits at the hip, straight hem. ",,$30,currant,Organic Cotton,https://wearpact.com/women/apparel/tops & shirts/softspun v-neck tee/wa1-wvn-rsy,https://static.wearpact.com/img/product/women/wvn-cur-1-1650643616_thumb.jpg,2022-06-03,women,True
